EBITDA_TO_Interest_Expense,Retained_Earnings_TO_Debt,EBIT_TO_Interest Expense,Debt_TO_EBITDA,Debt_TO_Capital,Asset_TO_Size,log10_Asset Size,EBITDA_Margin,Default_Flag
45.06506365,3.2825,37.18953324,0.878817363,0.290900024,132689000,8.122834921,0.665031622,0
4.871020102,1.042344444,2.403920589,6.920947401,0.953962477,607541000,8.783575592,0.375086532,0
17.35367063,0.979623126,14.99553571,1.668572245,1.020800727,979995000,8.99122386,1.350035936,0
5.35889944,1.81268543,1.134566999,4.57388644,0.551667699,907705000,8.957944728,0.345879432,0
,,,0,0,3362000,6.526597709,-0.114854518,0
-10.2238806,1.755801105,-17.43283582,-3.96350365,0.569540592,9466000,6.9761665,-0.058934871,0
-0.021582734,1.4045272,-5.618705036,-913,0.711983364,9055000,6.956888455,-0.000190138,0
30.74137931,0.701680672,,1.43494111,0.193991091,81505,4.911184252,0.599176678,0
10.64097363,0.213499477,,4.918223408,0.785514218,142089,5.152560458,0.521782375,0
1.515532734,0.064432268,,16.94257157,1.048102115,247909,5.394292294,0.17106674,0
12.57571885,0.389653022,,1.547838016,0.290111376,335195,5.525297532,0.664281495,0
22.75044883,,,0,0,9669000,6.98538156,3.072,0
54.35918367,1.536588235,,0.319116985,0.650792435,24234000,7.384425104,0.894666129,0
94.03278689,4.763579188,,0.101638773,0.209926184,22792000,7.357782436,1.5800202,0
51.75949367,2.878177169,33.47679325,0.542023315,0.347442128,26210000,7.418467021,0.855857113,0
33.73248408,1.262404393,25.26433121,0.962802115,0.792139195,24242000,7.384568447,0.763112392,0
,,,0,0,19000000,7.278753601,-0.058333333,0
-19.1,-0.84,,-1.047120419,-1.19047619,32000000,7.505149978,-1.528,0
0,-0.308176101,-69,,-3.244897959,270000,5.431363764,0,0
160.8,5.108,146.6,0.621890547,0.187687688,3169000,6.500922239,1.549132948,0
104.4,,94.2,0,0,3241000,6.510679031,1.474576271,0
26.4,,25.4,0,0,4076000,6.610234175,0.647058824,0
,,,0,0,3187000,6.503382063,0.502057613,0
,,,0,0,3839000,6.584218112,0.43338438,0
,13.396875,,0.34820457,0.074644273,4607000,6.663418212,0.90990099,0
4.666666667,0.007072136,-0.08045977,5.224137931,141.4,2145000,6.331427297,0.253433208,1
12.85714286,0.373493976,12.85714286,0.922222222,0.250755287,465000,5.667452953,0.714285714,0
28.33333333,1.302083333,28.33333333,1.129411765,0.101159115,1072000,6.030194785,0.399061033,0
-9.5,-0.076923077,-9.5,-2.052631579,0.141304348,656000,5.816903839,-0.304,0
2.586113616,-0.003720299,-0.344454463,6.419979079,-268.7956204,42329000,7.626638009,0.276313888,0
5.982133189,0.100992765,,2.689383655,9.901699434,37731000,7.576698316,0.477093139,0
10.88365243,0.135013364,,3.543978349,7.406674208,75311,4.876858414,0.503080432,0
15.08593125,0.408982853,,1.883454762,2.445090284,123243,5.090762261,0.572839993,0
6.447187929,0.478888889,,2.489361702,2.088167053,161066000,8.207003873,0.410987995,0
4.527335022,0.45051168,2.016237152,2.958015267,2.219698279,169222000,8.228456824,0.411598207,0
10.95652174,1.054668471,4.894120297,1.519450613,0.948165255,191017000,8.28107202,0.44992923,0
15.09246575,0.951152,0.809686888,2.025997601,1.051356671,159535000,8.202855977,0.559700274,0
6.183924129,0,4.358364428,6.285355123,1.412716711,486489,5.687073025,0.082836626,0
1.647595078,0,0.351677852,14.56091517,1.857231926,806740,5.906733591,0.041526584,0
1.871658329,0,0.805174547,9.551385217,3.125690666,1013085,6.005645885,0.077594733,0
1.816556444,1.169871236,0.757766841,5.095777331,0.854794929,1278410,6.106670159,0.077165938,0
4.219771358,0.964503667,2.597995035,4.220125079,1.036802694,2458639,6.390694766,0.141573348,0
14.02105263,0.960767947,14.02105263,0.899399399,9.900826446,1319000,6.120244796,0.676829268,0
25.63157895,0.691034483,25.63157895,0.372176591,1.235093697,1313000,6.118264726,0.736205593,0
20.62857143,-0.203041825,20.62857143,1.82132964,-7.26519337,1134000,6.054613055,0.52394775,0
10.05068729,0.155780631,3.057989691,1.607701513,6.419283276,44044000,7.643886754,0.654526127,0
10.27687882,0.158330826,3.595469256,1.511791463,6.31588949,50490000,7.703205371,0.66697783,0
5.277290448,0.630755277,3.240984405,2.596315449,1.862570388,91780000,7.962748053,0.55643193,0
9.040095141,0.964321152,4.37546721,1.780379628,1.218287037,91620000,7.961990287,0.582128088,0
8.385160938,0.962954545,2.733769776,2.862719584,1.236893149,87405000,7.941536277,0.51141279,0
10.86707152,1.019431818,4.924426451,2.732070785,1.156130117,89870000,7.953614742,0.533472457,0
11.95808272,1.969698514,8.606215694,0.304503943,0.208281189,2463228,6.391504613,0.665681128,0
11.40260928,0.188802723,6.815652754,4.206274157,0.990040581,9693351,6.986473939,0.618787171,0
14.04643947,-0.030339037,-22.2909711,1.706923904,1.179919908,7111915,6.851986557,0.688566361,0
9.644212922,0.019324532,3.932598122,3.722262727,0.828291572,7734731,6.888445214,0.600653602,0
11.58173965,0.055318364,5.108319309,2.766081503,0.811178696,7922673000,9.898871731,0.68973367,0
,,,,,1395921,6.144860841,,0
,,,,,1735374,6.239393086,,0
,,,,,2283564,6.358613188,,0
,,,,,2728428,6.435912498,,0
,,,,,3273223,6.514975594,,0
-81.37006121,,-150.640512,,,3014901,6.479273056,-0.034382856,0
35.30839975,6.129184648,28.03556101,0.680020143,0.163153838,333526,5.523129695,0.571071577,0
24.92471539,50.11538462,20.00036724,0.052099602,0.019953952,207244,5.316481966,0.533275713,0
13.94534995,3.826837129,9.243847875,4.266299989,0.261312401,1986556,6.298100812,0.490788231,0
7.708632755,1.813841804,2.062258763,3.036303536,0.551315996,2216834,6.345733174,0.572948275,0
5.988666959,2.197447227,2.643760566,2.922264624,0.454914994,1971029,6.294693014,0.543417431,0
6.780375546,2.482240023,3.593803155,2.630637101,0.402721468,1991719000,9.299228066,0.545529681,0
0.285714286,,0.285714286,,,341,2.532754379,0.2,0
-0.117647059,,-0.117647059,,,313,2.495544338,-0.1,0
-0.058823529,,-0.058823529,,,326,2.5132176,-0.006666667,0
